Element,Actual Structure,DFT Stable Structure,Second Stable Structure,DFT Matches Actual,E_BCC,E_FCC,E_HCP,Delta_E,Delta_E_BCC_FCC,Delta_E_BCC_HCP,Delta_E_FCC_HCP,Has Transition,Transition Temp C,Before,After,Atomic Number,Atomic Radius pm,Atomic Mass,Density g cm-3,Melting Point C,Electronegativity,First Ionization Energy kJ mol-1,Valence Electrons,d Electrons
Y,HCP,HCP,FCC,True,0.126662035,0.0241223549999994,0.0,0.0241223549999994,0.1025396800000006,0.126662035,0.0241223549999994,False,,,,39,180,88.9058,4.47,1526.0,1.22,600.0,3,1
Ag,FCC,HCP,FCC,False,0.025423042499999937,0.000495352499999768,0.0,0.000495352499999768,0.02492769000000017,0.025423042499999937,0.000495352499999768,False,,,,47,144,107.8682,10.49,961.78,1.93,731.0,11,10
Au,FCC,FCC,HCP,True,0.018263720000000205,0.0,0.00359856250000012,0.00359856250000012,0.018263720000000205,0.014665157500000085,-0.00359856250000012,False,,,,79,144,196.9666,19.3,1064.18,2.54,890.1,11,10
Pt,FCC,FCC,HCP,True,0.09484123000000011,0.0,0.0316223275,0.0316223275,0.09484123000000011,0.06321890250000012,-0.0316223275,False,,,,78,139,195.084,21.45,1768.3,2.28,870.0,10,9
Pd,FCC,FCC,HCP,True,0.040596190000000476,0.0,0.0140613325000007,0.0140613325000007,0.040596190000000476,0.026534857499999776,-0.0140613325000007,False,,,,46,137,106.42,12.02,1554.9,2.2,804.4,10,10
Al,FCC,FCC,HCP,True,0.09554854999999973,0.000788779999999711,0.0142352199999998,0.013446440000000089,0.09475977000000002,0.08131332999999993,-0.013446440000000089,False,,,,13,143,26.9815,2.7,660.32,1.61,577.5,3,0
Mg,HCP,HCP,FCC,True,0.0288302008333299,0.0130016908333299,1.30008333298903e-05,0.01298869000000001,0.015828509999999997,0.028817200000000008,0.01298869000000001,False,,,,12,160,24.305,1.738,650.0,1.31,737.7,2,0
Ca,FCC,FCC,HCP,True,0.0146880999999999,0.0,0.00260940499999984,0.00260940499999984,0.0146880999999999,0.01207869500000006,-0.00260940499999984,True,450.0,FCC,BCC,20,197,40.078,1.54,842.0,1.0,589.8,2,0
Li,BCC,FCC,BCC,False,0.00337198999999999,0.00102457,0.00452938999999986,0.00234741999999999,0.00234741999999999,-0.0011573999999998697,-0.00350481999999986,False,,,,3,152,6.94,0.534,180.5,0.98,520.2,1,0
Na,BCC,HCP,FCC,False,0.00305485000000005,0.00276070000000006,0.0,0.00276070000000006,0.00029414999999999,0.00305485000000005,0.00276070000000006,False,,,,11,186,22.9898,0.968,97.79,0.93,495.8,1,0
K,BCC,HCP,BCC,False,0.000309365000000117,0.000478855000000111,5.89125000001189e-05,0.00025045249999999813,-0.000169489999999994,0.00025045249999999813,0.0004199424999999921,False,,,,19,227,39.0983,0.862,63.38,0.82,418.8,1,0
Ba,BCC,BCC,HCP,True,0.0,0.01778743,0.01407768,0.01407768,-0.01778743,-0.01407768,0.0037097499999999995,True,727.0,BCC,HCP,56,222,137.327,3.62,727.0,0.89,502.9,2,0
Sr,FCC,FCC,HCP,True,0.00456654999999984,0.0,0.00145203999999999,0.00145203999999999,0.00456654999999984,0.0031145099999998504,-0.00145203999999999,True,547.0,FCC,BCC,38,215,87.62,2.64,777.0,0.95,549.5,2,0
